"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S12000020","Council area","Moray",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15955,16.9,17.1,16.6,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16290,17.3,17.6,17.1,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16805,17.8,18.1,17.6,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16675,17.8,18,17.5,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17907,19,19.2,18.8,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18460,19.6,19.8,19.3,"Public Health Scotland (Prescribing Information System)"
"S12000020","Council area","Moray",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18951,20,20.3,19.8,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22386,16.2,16.4,16,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23296,16.9,17.1,16.7,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24143,17.5,17.7,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25258,18.4,18.6,18.2,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26351,19.3,19.5,19.1,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",27128,19.9,20.1,19.7,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28021,20.6,20.8,20.4,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28654,21.1,21.3,20.9,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29296,21.7,21.9,21.5,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30026,22.3,22.5,22.1,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29503,22,22.2,21.8,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30901,23.1,23.3,22.9,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31220,23.4,23.6,23.2,"Public Health Scotland (Prescribing Information System)"
"S12000021","Council area","North Ayrshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31692,23.7,24,23.5,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2605,12.3,12.7,11.8,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2793,13,13.5,12.6,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2919,13.6,14,13.1,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3118,14.5,15,14,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3235,15,15.5,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3452,16,16.5,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3500,16.2,16.7,15.7,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3700,17,17.5,16.5,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3815,17.5,18,17,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3993,18.3,18.8,17.8,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4041,18.4,18.9,17.9,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4189,19,19.6,18.5,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4231,19.2,19.7,18.7,"Public Health Scotland (Prescribing Information System)"
"S12000023","Council area","Orkney Islands",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4317,19.6,20.1,19.1,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17226,15.2,15.4,14.9,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17977,15.8,16,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",18665,16.4,16.6,16.2,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19233,16.8,17,16.6,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20062,17.5,17.7,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20974,18.3,18.5,18,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",21633,18.7,19,18.5,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22207,19.2,19.4,18.9,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22843,19.7,19.9,19.4,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23232,20,20.2,19.7,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22703,19.5,19.7,19.3,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23891,20.4,20.6,20.2,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24701,21.1,21.4,20.9,"Public Health Scotland (Prescribing Information System)"
"S12000026","Council area","Scottish Borders",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25026,21.5,21.7,21.2,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2703,11.7,12.1,11.3,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2881,12.4,12.8,12,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",2886,12.4,12.9,12,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3042,13.1,13.6,12.7,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3231,13.8,14.3,13.4,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3405,14.6,15,14.1,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3464,14.9,15.4,14.5,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3570,15.4,15.9,15,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3781,16.4,16.9,16,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3807,16.6,17.1,16.1,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",3872,16.9,17.4,16.4,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4018,17.5,18,17,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4087,17.8,18.2,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000027","Council area","Shetland Islands",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",4123,17.9,18.4,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19080,16.9,17.2,16.7,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",19963,17.7,17.9,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",20514,18.2,18.4,18,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",21351,18.9,19.2,18.7,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",21696,19.3,19.5,19.1,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",22434,20,20.2,19.8,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23378,20.8,21.1,20.6,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",23953,21.3,21.6,21.1,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24515,21.9,22.1,21.6,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25130,22.4,22.7,22.2,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",24628,22.1,22.3,21.9,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",25874,23.2,23.4,22.9,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26328,23.6,23.9,23.4,"Public Health Scotland (Prescribing Information System)"
"S12000028","Council area","South Ayrshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",26836,24,24.2,23.8,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",51266,16.4,16.5,16.2,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",53822,17.1,17.3,17,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",56248,17.9,18,17.7,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",58290,18.5,18.6,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",60536,19.1,19.2,19,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",62655,19.7,19.8,19.6,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",65275,20.5,20.6,20.3,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",66476,20.7,20.9,20.6,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",68403,21.3,21.4,21.1,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",69794,21.6,21.7,21.5,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",68047,21,21.2,20.9,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",70732,21.7,21.9,21.6,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",72215,22.1,22.2,21.9,"Public Health Scotland (Prescribing Information System)"
"S12000029","Council area","South Lanarkshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",72864,22.1,22.2,21.9,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12036,13.4,13.7,13.2,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12754,14.1,14.3,13.9,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13520,14.9,15.2,14.7,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13946,15.4,15.7,15.2,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14279,15.8,16.1,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14648,16.1,16.4,15.9,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14895,16.3,16.5,16,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15628,17,17.3,16.8,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16108,17.5,17.8,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16473,17.9,18.1,17.6,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15762,17.1,17.4,16.9,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16619,18.2,18.4,17.9,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17142,18.5,18.8,18.3,"Public Health Scotland (Prescribing Information System)"
"S12000030","Council area","Stirling",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17789,19,19.3,18.8,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",28630,13,13.2,12.9,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",30131,13.5,13.7,13.4,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31350,14,14.1,13.8,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",32398,14.4,14.5,14.2,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33459,14.8,14.9,14.6,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",34426,15.2,15.3,15,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",35342,15.7,15.8,15.5,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",36045,16.1,16.2,15.9,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",36825,16.6,16.7,16.4,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",37975,17,17.2,16.9,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",37247,16.7,16.8,16.5,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",39075,17.7,17.8,17.5,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",39484,17.6,17.8,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",39713,17.4,17.6,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",29868,11.9,12,11.8,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",31649,12.5,12.6,12.3,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",33431,13.1,13.2,12.9,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",34790,13.5,13.6,13.3,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",36563,14,14.1,13.9,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",38334,14.6,14.7,14.4,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",39427,15,15.1,14.8,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",40583,15.4,15.6,15.3,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",42123,16.1,16.2,15.9,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",43636,16.7,16.8,16.5,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",43314,16.6,16.7,16.4,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",45904,17.5,17.6,17.3,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",46913,17.8,17.9,17.6,"Public Health Scotland (Prescribing Information System)"
"S12000034","Council area","Aberdeenshire",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",47563,18,18.1,17.9,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12446,14,14.3,13.8,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",12985,14.6,14.8,14.4,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13619,15.6,15.9,15.4,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",13966,15.8,16,15.6,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14500,16.4,16.6,16.1,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",14971,17,17.3,16.8,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15377,17.4,17.7,17.2,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",15871,18,18.3,17.8,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16043,18.3,18.6,18.1,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16416,18.8,19,18.5,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2020,"2020/21 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16081,18.4,18.7,18.2,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2021,"2021/22 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",16855,19.2,19.4,18.9,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2022,"2022/23 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17392,19.8,20,19.5,"Public Health Scotland (Prescribing Information System)"
"S12000035","Council area","Argyll & Bute",2023,"2023/24 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",17875,20.4,20.6,20.1,"Public Health Scotland (Prescribing Information System)"
"S12000036","Council area","City of Edinburgh",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",58049,12.4,12.4,12.3,"Public Health Scotland (Prescribing Information System)"
